"Gene_symbol","ng","metaFIN_pval","metaFIN_padj"
"TPI1P2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"NHERF4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RPRML",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ANO8",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"F2",4.34333574068889,1.4033541418712e-05,2.16729702530925e-05
"RCOR2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MIR3907",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HDAC10",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MROH6",11.5276303136867,0,0
"VPREB1",6.91279861343791,2.37587727269783e-12,5.74145684641364e-12
"107987398",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MRGPRG",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC105375107",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CAPN11",3.92334822284912,8.73267882723905e-05,0.000127387808789757
"RNF225",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"MFSD3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CELF5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GPR45",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"OR5C1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LOC100132287",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GAST",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GOLGA8S",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SUPT20HL2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"RGS9BP",9.3533211631869,0,0
"KLHL33",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"ANKRD9",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TRIM50",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"INGX",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CCT8L2",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GPR32",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"LINC00628",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SPACA4",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"DKFZp434L192",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"TLCD3B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"CENPVL3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"HTR7P1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRR23B",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"SLC39A5",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"PRKAG3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"GATA1",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"KRTAP12-3",8.20953615160139,1.11022302462516e-16,3.47062066739447e-16
"AVPR2",7.6159946226241,1.31006316905768e-14,3.6512424841026e-14
